circuito,escuela,mesa,nombre,votos,perc,percAbs
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400103X,CELESTE Y BLANCA - 1,60.0,56.07,27.64
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400103X,CELESTE Y BLANCA - 2,47.0,43.92,21.65
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400104X,CELESTE Y BLANCA - 2,55.0,57.29,23.6
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400104X,CELESTE Y BLANCA - 1,41.0,42.7,17.59
00668,ESCUELA EP N°15,0213400105X,CELESTE Y BLANCA - 1,70.0,58.82,30.56
00668,ESCUELA EP N°15,0213400105X,CELESTE Y BLANCA - 2,49.0,41.17,21.39
00668,ESCUELA EP N°15,0213400106X,CELESTE Y BLANCA - 1,73.0,61.86,30.54
00668,ESCUELA EP N°15,0213400106X,CELESTE Y BLANCA - 2,45.0,38.13,18.82
00668,ESCUELA EP N°15,0213400107X,CELESTE Y BLANCA - 1,56.0,58.94,24.45
00668,ESCUELA EP N°15,0213400107X,CELESTE Y BLANCA - 2,39.0,41.05,17.03
00668,ESCUELA EP N°15,0213400108X,CELESTE Y BLANCA - 1,76.0,54.28,30.52
00668,ESCUELA EP N°15,0213400108X,CELESTE Y BLANCA - 2,64.0,45.71,25.7
00668,ESCUELA EP N°15,0213400109X,CELESTE Y BLANCA - 2,70.0,52.23,29.04
00668,ESCUELA EP N°15,0213400109X,CELESTE Y BLANCA - 1,64.0,47.76,26.55
00668,ESCUELA EP N°30,0213400110X,CELESTE Y BLANCA - 2,0.0,0.0,0.0
00668,ESCUELA EP N°30,0213400110X,CELESTE Y BLANCA - 1,0.0,0.0,0.0
00668,ESCUELA EP N°30,0213400111X,CELESTE Y BLANCA - 1,72.0,60.5,32.14
00668,ESCUELA EP N°30,0213400111X,CELESTE Y BLANCA - 2,47.0,39.49,20.98
00668,ESCUELA EP N°30,0213400112X,CELESTE Y BLANCA - 2,57.0,54.28,24.56
00668,ESCUELA EP N°30,0213400112X,CELESTE Y BLANCA - 1,48.0,45.71,20.68
00668,ESCUELA EP N°30,0213400113X,CELESTE Y BLANCA - 1,55.0,50.45,24.33
00668,ESCUELA EP N°30,0213400113X,CELESTE Y BLANCA - 2,54.0,49.54,23.89
00668,ESCUELA EP N°30,0213400114X,CELESTE Y BLANCA - 2,0.0,0.0,0.0
00668,ESCUELA EP N°30,0213400114X,CELESTE Y BLANCA - 1,0.0,0.0,0.0
00668,ESCUELA EP N°30,0213400115X,CELESTE Y BLANCA - 1,44.0,50.57,19.38
00668,ESCUELA EP N°30,0213400115X,CELESTE Y BLANCA - 2,43.0,49.42,18.94
00668,ESCUELA EST N°2,0213400116X,CELESTE Y BLANCA - 1,54.0,51.92,23.07
00668,ESCUELA EST N°2,0213400116X,CELESTE Y BLANCA - 2,50.0,48.07,21.36
00668,ESCUELA EST N°2,0213400117X,CELESTE Y BLANCA - 2,59.0,53.63,25.0
00668,ESCUELA EST N°2,0213400117X,CELESTE Y BLANCA - 1,51.0,46.36,21.61
00668,ESCUELA EST N°2,0213400118X,CELESTE Y BLANCA - 1,71.0,57.25,30.73
00668,ESCUELA EST N°2,0213400118X,CELESTE Y BLANCA - 2,53.0,42.74,22.94
00668,ESCUELA EST N°2,0213400119X,CELESTE Y BLANCA - 1,49.0,53.84,21.68
00668,ESCUELA EST N°2,0213400119X,CELESTE Y BLANCA - 2,42.0,46.15,18.58
00668,ESCUELA EST N°2,0213400120X,CELESTE Y BLANCA - 1,53.0,51.45,22.36
00668,ESCUELA EST N°2,0213400120X,CELESTE Y BLANCA - 2,50.0,48.54,21.09
00668,ESCUELA EST N°2,0213400121X,CELESTE Y BLANCA - 1,64.0,58.71,26.01
00668,ESCUELA EST N°2,0213400121X,CELESTE Y BLANCA - 2,45.0,41.28,18.29
00668,ESCUELA EST N°2,0213400122X,CELESTE Y BLANCA - 1,54.0,50.94,22.22
00668,ESCUELA EST N°2,0213400122X,CELESTE Y BLANCA - 2,52.0,49.05,21.39
00668,ESCUELA EST N°2,0213400123X,CELESTE Y BLANCA - 1,68.0,59.64,28.81
00668,ESCUELA EST N°2,0213400123X,CELESTE Y BLANCA - 2,46.0,40.35,19.49
00668,ESCUELA EST N°2,0213400124X,CELESTE Y BLANCA - 1,64.0,53.78,28.19
00668,ESCUELA EST N°2,0213400124X,CELESTE Y BLANCA - 2,55.0,46.21,24.22
00668,ESCUELA EST N°2,0213400125X,CELESTE Y BLANCA - 2,54.0,58.69,21.68
00668,ESCUELA EST N°2,0213400125X,CELESTE Y BLANCA - 1,38.0,41.3,15.26
00668,ESCUELA EDUCAC.ESPECIAL N°501,0213400126X,CELESTE Y BLANCA - 1,61.0,61.61,27.23
00668,ESCUELA EDUCAC.ESPECIAL N°501,0213400126X,CELESTE Y BLANCA - 2,38.0,38.38,16.96
00668,ESCUELA EDUCAC.ESPECIAL N°501,0213400127X,CELESTE Y BLANCA - 1,63.0,56.75,29.3
00668,ESCUELA EDUCAC.ESPECIAL N°501,0213400127X,CELESTE Y BLANCA - 2,48.0,43.24,22.32
00668,ESCUELA EDUCAC.ESPECIAL N°501,0213400128X,CELESTE Y BLANCA - 2,61.0,53.5,27.6
00668,ESCUELA EDUCAC.ESPECIAL N°501,0213400128X,CELESTE Y BLANCA - 1,53.0,46.49,23.98
00668,ESCUELA EP N°26,0213400129X,CELESTE Y BLANCA - 1,70.0,56.91,31.53
00668,ESCUELA EP N°26,0213400129X,CELESTE Y BLANCA - 2,53.0,43.08,23.87
00668,ESCUELA EP N°26,0213400130X,CELESTE Y BLANCA - 1,58.0,50.0,25.32
00668,ESCUELA EP N°26,0213400130X,CELESTE Y BLANCA - 2,58.0,50.0,25.32
00668,ESCUELA EP N°26,0213400131X,CELESTE Y BLANCA - 1,58.0,68.23,29.29
